1,babe," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The babe in the manger was no Hebrew stranger.,easy
2,babies," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
3,baby," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
4,babied," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
5,babying," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
6,babyish," a very young child (birth to 1 year) who has not yet begun to walk or talk
",The sweet and lovable baby was a son of the couple.,easy
7,back," the posterior part of a human (or animal) body from the neck to the end of the spine
","Bob Cousy added the behind the back dribble fifty years later, and now.",easy
8,backed," the posterior part of a human (or animal) body from the neck to the end of the spine
","Bob Cousy added the behind the back dribble fifty years later, and now.",easy
9,backs," the posterior part of a human (or animal) body from the neck to the end of the spine
","Bob Cousy added the behind the back dribble fifty years later, and now.",easy
10,bacteria, single-celled or noncellular spherical or spiral or rod-shaped organisms lacking chlorophyll that reproduce by fission; important as pathogens and for biochemical properties; taxonomy is difficult; often considered to be,"At the site of infection, the neutrophils engulf and kill bacteria.",easy
11,badder, that which is below standard or expectations as of ethics or decency,Try not to pay attention to the bad dancing and Grandma bedspread.,easy
12,baddish, that which is below standard or expectations as of ethics or decency,Try not to pay attention to the bad dancing and Grandma bedspread.,easy
13,bade," an authoritative direction or instruction to do something
",Players who underbid are deducted points in the amount of the bid.,easy
14,badness, that which is below standard or expectations as of ethics or decency,Try not to pay attention to the bad dancing and Grandma bedspread.,easy
15,bagged," a flexible container with a single opening
","On the floor, there was a bag containing syringes and heroin paraphernalia.",easy
16,bagging," a flexible container with a single opening
","On the floor, there was a bag containing syringes and heroin paraphernalia.",easy
17,balance," a state of equilibrium
","I'm a math genius, and I can't even balance my own checkbook.",easy
18,balanced, being in a state of proper equilibrium,The balance was asymmetric.,easy
19,ball," round object that is hit or thrown or kicked in games
",The aim of the game is to kick the ball into the goal.,easy
20,balled," round object that is hit or thrown or kicked in games
",The aim of the game is to kick the ball into the goal.,easy
21,balling," round object that is hit or thrown or kicked in games
",The aim of the game is to kick the ball into the goal.,easy
22,banning," a decree that prohibits something
",He refused to acknowledge the ban on the ground of its illegality.,easy
23,bank," sloping land (especially the slope beside a body of water)
",Banks and financiers are at the top of the pyramid.,easy
24,band," an unofficial association of people or groups
",The band wanted the video to set the scene on the actual party.,easy
25,banded," an unofficial association of people or groups
",The band wanted the video to set the scene on the actual party.,easy
26,banding," an unofficial association of people or groups
",The band wanted the video to set the scene on the actual party.,easy
27,banged," a vigorous blow
",The bang on the door grew harder.,easy
28,banging," a vigorous blow
",The bang on the door grew harder.,easy
29,bang," a vigorous blow
",The bang on the door grew harder.,easy
30,banking," engaging in the business of keeping money for savings and checking accounts or for exchange or for issuing loans and credit etc.
",This is the leverage of the investment banks.,easy
31,banner," long strip of cloth or paper used for decoration or advertising
",There is a banner ad at the top of the page.,easy
32,barrier," a structure or object that impedes free movement
",The inner wall member comprises an impermeable barrier layer.,easy
33,base," installation from which a military force initiates operations
","The bottom of the base is corrugated, the bottom of the trays are corrugated.",easy
34,based," having a base
",The base of the skin is pegged to the ground.,easy
35,basing," installation from which a military force initiates operations
","The bottom of the base is corrugated, the bottom of the trays are corrugated.",easy
36,baseball," a ball game played with a bat and ball between two teams of nine players; teams take turns at bat trying to score runs
",He was a largely unheralded baseball player.,easy
37,basely," installation from which a military force initiates operations
","The bottom of the base is corrugated, the bottom of the trays are corrugated.",easy
38,basic," a popular programming language that is relatively easy to learn; an acronym for beginner's all-purpose symbolic instruction code; no longer in general use
",Hunger is a main stimulant of the basic cry.,easy
39,bases," installation from which a military force initiates operations
","The bottom of the base is corrugated, the bottom of the trays are corrugated.",easy
40,basis," a relation that provides the foundation for something
","The only ground for knowledge is the intuition, the basis of sense experience.",easy
41,basket," a container that is usually woven and has handles
",The basket floor is opened to drop the stack into the case.,easy
42,bass," the lowest part of the musical range
",On the original it has muted bass guitar at the begginning.,easy
43,basses," the lowest part of the musical range
",On the original it has muted bass guitar at the begginning.,easy
